INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,C150_4,REGION,TUITIONFEE_IN,TUITIONFEE_OUT
Bakersfield College,Bakersfield,CA,93305-1299,35.40911,-118.973753,0.2263,8,1430.0,10310.0
Bethesda University,Anaheim,CA,92801,33.842295,-117.941323,0.1818,8,7220.0,7220.0
Biola University,La Mirada,CA,90639-0001,33.906203,-118.014374,0.6881,8,46704.0,46704.0
Bryan University,Tempe,AZ,85281,33.437779,-111.944197,0.24,6,12185.0,12185.0
California Baptist University,Riverside,CA,92504-3297,33.929321,-117.425619,0.5953,8,39720.0,39720.0
California College of the Arts,San Francisco,CA,94107-2247,37.767485,-122.399451,0.5872,8,57946.0,57946.0
California Institute of Technology,Pasadena,CA,91125,34.137349,-118.125878,0.9316,8,63255.0,63255.0
California Lutheran University,Thousand Oaks,CA,91360-2787,34.224566,-118.878924,0.7402,8,50670.0,50670.0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,35.299513,-120.657311,0.8519,8,11075.0,30995.0
Alliant International University-San Diego,San Diego,CA,92131,32.897056,-117.094398,0.2222,8,13918.0,13918.0
California State University-Bakersfield,Bakersfield,CA,93311-1099,35.350005,-119.104711,0.4931,8,7696.0,19576.0
California State University-Stanislaus,Turlock,CA,95382-0299,37.52577,-120.852511,0.58,8,7826.0,19706.0
California State University-San Bernardino,San Bernardino,CA,92407-2393,34.182622,-117.323801,0.5465,8,7675.0,19555.0
California State Polytechnic University-Pomona,Pomona,CA,91768,34.057912,-117.821476,0.6674,8,7439.0,19319.0
California State University-Chico,Chico,CA,95929-0150,39.729712,-121.844859,0.6363,8,8064.0,19944.0
California State University-Dominguez Hills,Carson,CA,90747-0005,33.864766,-118.255917,0.4685,8,7064.0,18944.0
California State University-Fresno,Fresno,CA,93740,36.811154,-119.744569,0.5482,8,6980.0,18860.0
California State University-Fullerton,Fullerton,CA,92832-3599,33.881506,-117.885446,0.6922,8,7073.0,18953.0
California State University-East Bay,Hayward,CA,94542,37.657694,-122.054135,0.4551,8,7055.0,18935.0
California State University-Long Beach,Long Beach,CA,90840-0115,33.782818,-118.11204,0.6986,8,7008.0,18888.0
California State University-Los Angeles,Los Angeles,CA,90032-8506,34.066927,-118.168965,0.5257,8,6813.0,18698.0
California State University-Northridge,Northridge,CA,91330,34.240126,-118.529319,0.5618,8,7095.0,18975.0
California State University-Sacramento,Sacramento,CA,95819-2694,38.559415,-121.423549,0.5582,8,7602.0,19482.0
University of California-Berkeley,Berkeley,CA,94720,37.871918,-122.260463,0.9289,8,14850.0,45627.0
University of California-Davis,Davis,CA,95616-8678,38.539667,-121.749567,0.8507,8,15247.0,46024.0
University of California-Irvine,Irvine,CA,92697,33.648434,-117.841248,0.8595,8,14237.0,45014.0
University of California-Los Angeles,Los Angeles,CA,90095-1405,34.07178,-118.442179,0.9266,8,13747.0,44524.0
University of California-Riverside,Riverside,CA,92521,33.97246,-117.32741,0.7656,8,14170.0,44947.0
University of California-San Diego,La Jolla,CA,92093,32.877749,-117.235866,0.8763,8,15265.0,46042.0
University of California-Santa Barbara,Santa Barbara,CA,93106,34.416297,-119.846426,0.8533,8,14965.0,45742.0
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,36.995584,-122.058801,0.7445,8,14560.0,45337.0
California Institute of the Arts,Valencia,CA,91355-2397,34.39327,-118.566837,0.6415,8,56724.0,56724.0
California State University Maritime Academy,Vallejo,CA,94590-8181,38.069061,-122.231551,0.6682,8,7672.0,19552.0
Casa Loma College-Los Angeles,Sherman Oaks,CA,91403,34.155096,-118.466548,0.6322,8,,
Chapman University,Orange,CA,92866,33.79302,-117.852518,0.8036,8,62784.0,62784.0
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,33.925658,-118.242791,0.5,8,18933.0,18933.0
Concordia University-Irvine,Irvine,CA,92612-3203,33.653665,-117.812305,0.625,8,41390.0,41390.0
San Diego Christian College,Santee,CA,92071,32.843454,-116.978089,0.2353,8,26300.0,26300.0
Claremont McKenna College,Claremont,CA,91711-6400,34.102154,-117.711188,0.9517,8,64150.0,64150.0
University of Silicon Valley,San Jose,CA,95134,37.414049,-121.94087,0.3492,8,22480.0,22480.0
California College of ASU,Los Angeles,CA,90015,34.039355,-118.25968,0.4842,8,26175.0,26175.0
Cypress College,Cypress,CA,90630-5897,33.82833,-118.025143,0.351,8,1150.0,9399.0
Design Institute of San Diego,San Diego,CA,92121,32.880926,-117.167374,0.5,8,29350.0,29350.0
Dominican University of California,San Rafael,CA,94901-2298,37.981279,-122.512051,0.7627,8,50666.0,50666.0
Empire College,Santa Rosa,CA,95403-2126,38.468052,-122.729337,0.6466,8,,
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,90015-1421,34.044209,-118.25993,0.6715,8,34325.0,34325.0
Feather River Community College District,Quincy,CA,95971-9124,39.953101,-120.973067,0.4688,8,1465.0,9925.0
Foothill College,Los Altos Hills,CA,94022,37.361655,-122.127964,0.6,8,1565.0,12320.0
Fresno Pacific University,Fresno,CA,93702-4709,36.726831,-119.735199,0.5594,8,35558.0,35558.0
Glendale Career College,Glendale,CA,91203,34.149771,-118.254719,0.5934,8,,
Harvey Mudd College,Claremont,CA,91711,34.106515,-117.709837,0.9375,8,66255.0,66255.0
California State Polytechnic University-Humboldt,Arcata,CA,95521-8299,40.877481,-124.078293,0.4663,8,7913.0,19793.0
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,95207,38.011489,-121.316918,0.5,8,14760.0,14760.0
Interior Designers Institute,Newport Beach,CA,92660,33.641393,-117.865722,0.875,8,20250.0,20250.0
American Jewish University,Los Angeles,CA,90077-1519,34.128153,-118.471706,0.3077,8,,
Life Pacific University,San Dimas,CA,91773-3298,34.098705,-117.829388,0.5682,8,20462.0,20462.0
University of La Verne,La Verne,CA,91750-4401,34.100855,-117.773262,0.6545,8,47000.0,47000.0
Laguna College of Art and Design,Laguna Beach,CA,92651,33.561448,-117.772564,0.6304,8,35650.0,35650.0
Latin American Bible Institute,La Puente,CA,91746-3099,34.030992,-117.989601,0.6,8,12320.0,12320.0
Lincoln University,Oakland,CA,94612-2801,37.804788,-122.269745,0.75,8,11420.0,11420.0
La Sierra University,Riverside,CA,92505-8247,33.910704,-117.500054,0.6806,8,35910.0,35910.0
The Master's University and Seminary,Santa Clarita,CA,91321-1200,34.381755,-118.518193,0.6375,8,36930.0,36930.0
Loyola Marymount University,Los Angeles,CA,90045-2659,33.97085,-118.415744,0.7978,8,58974.0,58974.0
Menlo College,Atherton,CA,94027-4301,37.453475,-122.190797,0.5133,8,51070.0,51070.0
MiraCosta College,Oceanside,CA,92056-3899,33.190483,-117.302606,0.411,8,1152.0,9120.0
Modesto Junior College,Modesto,CA,95350-5800,37.651056,-121.009792,0.261,8,1270.0,8870.0
Mount Saint Mary's University,Los Angeles,CA,90049-1599,34.085315,-118.482879,0.5342,8,48132.0,48132.0
Musicians Institute,Hollywood,CA,90028,34.101265,-118.337582,0.4596,8,28400.0,28400.0
National University,San Diego,CA,92123,32.829299,-117.127296,0.5,8,13320.0,13320.0
Newschool of Architecture and Design,San Diego,CA,92101,32.71331,-117.153305,0.5094,8,30291.0,30291.0
Notre Dame de Namur University,Belmont,CA,94002-1908,37.517111,-122.284794,0.3155,8,,
Occidental College,Los Angeles,CA,90041-3392,34.127124,-118.210908,0.8511,8,63446.0,63446.0
Otis College of Art and Design,Los Angeles,CA,90045-3505,33.956607,-118.416615,0.6059,8,55513.0,55513.0
Hope International University,Fullerton,CA,92831-3199,33.87616,-117.88573,0.4565,8,36250.0,36250.0
Pacific States University,Los Angeles,CA,90010-2263,34.061315,-118.298408,1.0,8,9810.0,9810.0
Pacific Union College,Angwin,CA,94508-9707,38.570585,-122.440308,0.5147,8,35214.0,35214.0
University of the Pacific,Stockton,CA,95211-0197,37.981424,-121.312301,0.6782,8,55340.0,55340.0
Pepperdine University,Malibu,CA,90263,34.037786,-118.707077,0.8467,8,66742.0,66742.0
Pitzer College,Claremont,CA,91711-6101,34.104107,-117.706675,0.8321,8,62692.0,62692.0
Point Loma Nazarene University,San Diego,CA,92106-2899,32.718391,-117.250265,0.7379,8,43550.0,43550.0
Pomona College,Claremont,CA,91711-4434,34.099027,-117.714556,0.9319,8,62326.0,62326.0
Santa Ana College,Santa Ana,CA,92706-3398,33.759309,-117.887558,0.3151,8,1180.0,9460.0
University of Redlands,Redlands,CA,92373-0999,34.064218,-117.163218,0.7068,8,57614.0,57614.0
Rio Hondo College,Whittier,CA,90601-1616,34.019821,-118.033506,0.2713,8,1388.0,9884.0
San Diego Mesa College,San Diego,CA,92111-4998,32.803825,-117.169165,0.3375,8,1150.0,9094.0
San Diego State University,San Diego,CA,92182-0001,32.77525,-117.071228,0.7827,8,8290.0,20170.0
University of San Diego,San Diego,CA,92110-2492,32.770816,-117.192073,0.8158,8,56444.0,56444.0
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,37.775543,-122.420292,0.5246,8,54550.0,54550.0
San Francisco State University,San Francisco,CA,94132,37.721224,-122.476799,0.5015,8,7424.0,19304.0
University of San Francisco,San Francisco,CA,94117-1080,37.776618,-122.450477,0.7113,8,58222.0,58222.0
San Joaquin Valley College-Visalia,Visalia,CA,93291-9283,36.328049,-119.384981,0.339,8,,
William Jessup University,Rocklin,CA,95765-3707,38.819728,-121.292312,0.6071,8,37150.0,37150.0
San Jose State University,San Jose,CA,95192-0001,37.336569,-121.880621,0.6465,8,7992.0,19872.0
Santa Clara University,Santa Clara,CA,95053,37.348362,-121.93784,0.8845,8,59241.0,59241.0
Santa Monica College,Santa Monica,CA,90405-1628,34.017022,-118.469765,0.3583,8,1156.0,9316.0
Scripps College,Claremont,CA,91711-3905,34.104147,-117.711294,0.8712,8,63434.0,63434.0
Shasta Bible College and Graduate School,Redding,CA,96002,40.566034,-122.314419,0.3333,8,14535.0,14535.0
Shasta College,Redding,CA,96003,40.625731,-122.317982,0.2913,8,1197.0,8277.0
Simpson University,Redding,CA,96003-8606,40.61334,-122.332981,0.4167,8,38522.0,38522.0
Skyline College,San Bruno,CA,94066-1698,37.63042,-122.467335,0.4141,8,1332.0,11384.0
Saint Mary's College of California,Moraga,CA,94575,37.840731,-122.109031,0.6899,8,56134.0,56134.0
Solano Community College,Fairfield,CA,94534-3197,38.235881,-122.122368,0.3377,8,1172.0,8900.0
Sonoma State University,Rohnert Park,CA,94928-3609,38.340274,-122.677066,0.6052,8,8190.0,20070.0
Vanguard University of Southern California,Costa Mesa,CA,92626,33.662686,-117.900911,0.5586,8,39950.0,39950.0
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,34.044215,-118.232799,0.7,8,53564.0,53564.0
University of Southern California,Los Angeles,CA,90089,34.021281,-118.284169,0.9199,8,68237.0,68237.0
Thomas Aquinas College,Santa Paula,CA,93060,34.429009,-119.087141,0.8202,8,28700.0,28700.0
Epic Bible College & Graduate School,Sacramento,CA,95841,38.645152,-121.362642,0.0,8,15072.0,15072.0
Walden University,Minneapolis,MN,55401,44.98125,-93.265738,0.0,4,12498.0,12498.0
West Los Angeles College,Culver City,CA,90230-3519,34.004512,-118.386664,0.2138,8,1238.0,10130.0
Carrington College-Sacramento,Sacramento,CA,95826,38.556104,-121.371383,0.518,8,,
Westmont College,Santa Barbara,CA,93108-1089,34.450151,-119.662517,0.7009,8,51790.0,51790.0
Whittier College,Whittier,CA,90601,33.978773,-118.032299,0.6339,8,49864.0,49864.0
Woodbury University,Burbank,CA,91504-1052,34.208011,-118.341147,0.5478,8,44886.0,44886.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,34.085465,-118.346613,0.2,8,16900.0,16900.0
Adams State University,Alamosa,CO,81101,37.473636,-105.879642,0.3165,7,9776.0,21848.0
Aims Community College,Greeley,CO,80634,40.409559,-104.763415,0.3507,7,2090.0,11306.0
Arapahoe Community College,Littleton,CO,80160-9002,39.607505,-105.018631,0.2679,7,4308.0,16542.0
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,80217-3364,39.745149,-104.837722,0.474,7,10017.0,28209.0
University of Colorado Colorado Springs,Colorado Springs,CO,80918,38.892735,-104.800296,0.4534,7,9712.0,20492.0
University of Colorado Boulder,Boulder,CO,80309-0017,40.008781,-105.270823,0.7503,7,16430.0,41943.0
Colorado Christian University,Lakewood,CO,80226,39.71388,-105.09456,0.5532,7,39266.0,39266.0
Colorado College,Colorado Springs,CO,80903,38.84886,-104.822697,0.86,7,67932.0,67932.0
Concorde Career College-Aurora,Aurora,CO,80010-4314,39.718699,-104.867089,0.6897,7,,
Colorado Mountain College,Glenwood Springs,CO,81601-0233,39.54636,-107.324441,0.259,7,2700.0,12540.0
Colorado School of Mines,Golden,CO,80401,39.751443,-105.223364,0.7944,7,21186.0,44376.0
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,40.574805,-105.080732,0.6691,7,12896.0,33751.0
Colorado Technical University-Colorado Springs,Colorado Springs,CO,80907-3812,38.895069,-104.85716,0.1761,7,12760.0,12760.0
Community College of Denver,Denver,CO,80204-2026,39.741413,-105.001044,0.1579,7,4902.0,17136.0
University of Denver,Denver,CO,80208,39.678005,-104.963259,0.7795,7,59340.0,59340.0
Fort Lewis College,Durango,CO,81301-3999,37.275939,-107.867422,0.4315,7,9670.0,20798.0
Front Range Community College,Westminster,CO,80031,39.901452,-105.038068,0.301,7,4740.0,16974.0
Colorado Mesa University,Grand Junction,CO,81501-3122,39.080643,-108.553275,0.4152,7,9712.0,24312.0
Metropolitan State University of Denver,Denver,CO,80217-3362,39.744202,-105.00504,0.2989,7,10780.0,29503.0
Morgan Community College,Fort  Morgan,CO,80701,40.258792,-103.771822,0.4607,7,4127.0,16360.0
Naropa University,Boulder,CO,80302-6697,40.014235,-105.266987,0.4595,7,34600.0,34600.0
University of Northern Colorado,Greeley,CO,80639,40.410855,-104.692777,0.5134,7,12010.0,26204.0
Pikes Peak State College,Colorado Springs,CO,80906-5498,38.764287,-104.787261,0.23,7,4302.0,16534.0
Pueblo Community College,Pueblo,CO,81004-1499,38.262124,-104.636258,0.3746,7,4883.0,17116.0
Red Rocks Community College,Lakewood,CO,80228-1255,39.720277,-105.150094,0.3737,7,4707.0,16947.0
Regis University,Denver,CO,80221-1099,39.788175,-105.030756,0.6111,7,43980.0,43980.0
Rocky Mountain College of Art and Design,Lakewood,CO,80214,39.74332,-105.069911,0.3651,7,23720.0,23720.0
Montessori Education Center of the Rockies,Denver,CO,80205,39.762942,-104.943415,0.9167,7,,
Colorado State University Pueblo,Pueblo,CO,81001-4901,38.30859,-104.579033,0.3798,7,9401.0,17242.0
Trinidad State College,Trinidad,CO,81082,37.172059,-104.513451,0.5572,7,4468.0,7100.0
United States Air Force Academy,USAF Academy,CO,80840-5002,39.010957,-104.891358,0.8814,0,,
Western Colorado University,Gunnison,CO,81231,38.549936,-106.919132,0.5067,7,11083.0,23683.0
Albertus Magnus College,New Haven,CT,06511-1189,41.332519,-72.923848,0.4609,1,39924.0,39924.0
Bais Binyomin Academy,Monsey,NY,10952,41.123013,-74.078802,0.5714,2,9450.0,9450.0
University of Bridgeport,Bridgeport,CT,06604-5620,41.164741,-73.190166,0.4809,1,35760.0,35760.0
Central Connecticut State University,New Britain,CT,06050,41.692502,-72.765991,0.4933,1,12460.0,25736.0
Connecticut College,New London,CT,06320-4196,41.379833,-72.107321,0.8375,1,64812.0,64812.0
University of Connecticut,Storrs,CT,06269,41.809098,-72.249948,0.838,1,20366.0,43034.0
Goodwin University,East Hartford,CT,06118,41.742977,-72.64032,0.5833,1,21198.0,21198.0
Eastern Connecticut State University,Willimantic,CT,06226,41.721673,-72.218753,0.5814,1,13292.0,16624.0
Fairfield University,Fairfield,CT,06824-5195,41.157673,-73.255903,0.8379,1,56360.0,56360.0
University of Hartford,West Hartford,CT,06117-1599,41.798591,-72.715213,0.5828,1,47647.0,47647.0
Holy Apostles College and Seminary,Cromwell,CT,06416-2005,41.60682,-72.647853,1.0,1,9580.0,9580.0
Mitchell College,New London,CT,06320,41.328013,-72.09523,0.4414,1,39050.0,39050.0
University of New Haven,West Haven,CT,06516-1916,41.291314,-72.961472,0.5925,1,45730.0,45730.0
Paier College,Bridgeport,CT,06606,41.163451,-73.194727,0.5714,1,26400.0,26400.0
Post University,Waterbury,CT,06723,41.535549,-73.081497,0.3534,1,17100.0,17100.0
Quinnipiac University,Hamden,CT,06518,41.418915,-72.894117,0.7728,1,53090.0,53090.0
Sacred Heart University,Fairfield,CT,06825-1000,41.220893,-73.243332,0.745,1,48460.0,48460.0
University of Saint Joseph,West Hartford,CT,06117,41.781041,-72.72965,0.697,1,45908.0,45908.0
Southern Connecticut State University,New Haven,CT,06515-1355,41.333225,-72.947897,0.4782,1,12828.0,26104.0
Trinity College,Hartford,CT,06106-3100,41.747451,-72.690882,0.8276,1,67420.0,67420.0
United States Coast Guard Academy,New London,CT,06320-4195,41.375823,-72.101583,0.8789,0,,
Wesleyan University,Middletown,CT,06459,41.554665,-72.657146,0.9157,1,67316.0,67316.0
Western Connecticut State University,Danbury,CT,06810-6826,41.400365,-73.444264,0.5025,1,12763.0,16095.0
Yale University,New Haven,CT,06520,41.311158,-72.926688,0.9633,1,64700.0,64700.0
Delaware Technical Community College-Terry,Dover,DE,19901,39.198371,-75.56012,0.1945,2,4965.0,11828.0
Delaware State University,Dover,DE,19901,39.187173,-75.54053,0.3866,2,10314.0,20250.0
University of Delaware,Newark,DE,19716,39.679577,-75.752822,0.7878,2,16080.0,39720.0
Goldey-Beacom College,Wilmington,DE,19808,39.741501,-75.689624,0.5886,2,13440.0,13440.0
Wilmington University,New Castle,DE,19720,39.682299,-75.586998,0.2257,2,12330.0,12330.0
American University,Washington,DC,20016-8001,38.936005,-77.088875,0.7849,2,56543.0,56543.0
The Catholic University of America,Washington,DC,20064,38.933651,-76.997909,0.8133,2,55834.0,55834.0
University of the District of Columbia,Washington,DC,20008,38.943819,-77.066247,0.2626,2,6152.0,13004.0
Gallaudet University,Washington,DC,20002-3695,38.907371,-76.993675,0.4656,2,18382.0,18382.0
George Washington University,Washington,DC,20052,38.89923,-77.048363,0.8518,2,64990.0,64990.0
Georgetown University,Washington,DC,20057-0001,38.908809,-77.073463,0.943,2,65081.0,65081.0
Howard University,Washington,DC,20059,38.922392,-77.018966,0.689,2,33344.0,33344.0
Strayer University-District of Columbia,Washington,DC,20005,38.904881,-77.034133,0.0,2,13920.0,13920.0
Trinity Washington University,Washington,DC,20017-1094,38.927398,-77.004261,0.444,2,26110.0,26110.0
Baptist University of Florida,Graceville,FL,32440,30.962708,-85.503931,0.6923,5,13800.0,13800.0
Barry University,Miami,FL,33161-6695,25.878908,-80.198925,0.3659,5,33450.0,33450.0
Bethune-Cookman University,Daytona Beach,FL,32114-3099,29.207195,-81.032946,0.2783,5,14794.0,14794.0
Lynn University,Boca Raton,FL,33431-5598,26.385985,-80.122806,0.5269,5,42950.0,42950.0
Eastern Florida State College,Melbourne,FL,32935,28.170002,-80.670781,0.5122,5,2496.0,9739.0
Broward College,Fort Lauderdale,FL,33301,26.119422,-80.14183,0.3611,5,2830.0,8952.0
Albizu University-Miami,Miami,FL,33172-2209,25.795181,-80.354942,0.6,5,13128.0,13128.0
College of Central Florida,Ocala,FL,34474,29.166079,-82.175692,0.4396,5,2710.0,10517.0
Johnson University Florida,Kissimmee,FL,34744,28.302547,-81.363053,0.2364,5,19658.0,19658.0
University of Central Florida,Orlando,FL,32816,28.602159,-81.200889,0.7515,5,6368.0,22467.0
Chipola College,Marianna,FL,32446-2053,30.789228,-85.23139,0.6126,5,3120.0,8950.0
Daytona State College,Daytona Beach,FL,32114,29.20278,-81.049513,0.4123,5,3106.0,11994.0
South University-West Palm Beach,Royal Palm Beach,FL,33411,26.69215,-80.200219,0.2143,5,18238.0,18238.0
Eckerd College,Saint Petersburg,FL,33711-4700,27.715798,-82.687043,0.6756,5,50374.0,50374.0
Florida SouthWestern State College,Fort Myers,FL,33919,26.552403,-81.887102,0.3854,5,3401.0,12979.0
Edward Waters University,Jacksonville,FL,32209,30.34479,-81.684879,0.2795,5,14878.0,14878.0
